state,district,zhDistrict,districtNe,districtMm,districtBe,confirmed,ytdConfirmed,new,dateUpdate,activeCases,ytdActive,newActive,activeDateUpdate,fourteen,YTDfourteen,newFourteen
Pahang,Cameron Highlands,金马仑高原,कमेरोन हिघ्लंद,ကန်မရွန်း ဟိုင်းလန်း,ক্যামেরন হাইল্যান্ডস,5.0,5.0,0.0,2020-05-16,0.0,0.0,0.0,2020-05-28,85,97,-12
Pahang,Rompin,云冰,रोम्पिं,Rompin,রাুমপেইন,16.0,16.0,0.0,2021-01-08,3.0,3.0,0.0,2020-12-19,28,26,2
Pahang,All,All,All,All,All,1134.0,1134.0,0.0,2020-12-27,504.0,504.0,0.0,2021-01-09,2741,2680,61
Perak,Kinta,近打,किन्ता,ကင်းတာ,কিনটা,,,0.0,2020-12-20,,,0.0,,282,272,10
Perak,Hilir Perak,下霹雳,हिलिर  पेराक,Hilir Perak,হিলির পেরাক,,,0.0,2021-01-08,0.0,0.0,0.0,,59,58,1
Perak,Kerian,吉辇,केरियन,Kerian,কেরান,,,0.0,2021-01-08,,,0.0,2020-10-21,75,75,0
Perak,Perak Tengah,中霹雳,पेराक  तेंगाह,Perak Tengah,পেরেক টেঙা,,,0.0,2020-12-20,,,0.0,,27,27,0
Perak,Manjung,曼绒,मन्जुंग,မန်ဂျွန်း,মানজোংগ,,,0.0,2021-01-07,,,0.0,2020-10-22,399,394,5
Perak,"Larut, Matang, Selama",拉律、峇登、司南马,लारुत  मतांग सेलमा,Larut Matang Selama,লড়ুত মাতং সেলামা,,,0.0,2021-01-08,,,0.0,2020-10-22,1398,1310,88
Perak,Hulu Perak,上霹雳,हुलु पेराक,ဟူလူ ပဲရတ်,হুলু পেরাক,,,0.0,2020-11-28,,,0.0,2020-10-22,8,0,8
Perak,Batang Padang,马登巴冷,बतांग  पडांग,ဘာတန်း ပန်ဒန်း ,বাতাং পদং,,,0.0,2021-01-07,,,0.0,2020-10-22,446,412,34
Perak,Muallim,慕亚林,मुआल्लिम,Muallim,মোয়াললিম,,,0.0,2021-01-08,,,0.0,2020-10-22,37,34,3
Perak,Kuala Kangsar,江沙,कुअला  कंग्सार,ကွာလာ ကန်ဆာ,কুয়াল কংসার,,,0.0,2020-12-12,,,0.0,2020-08-07,81,80,1
Perak,Kampar,金宝,कम्पर,ကမ်ပါ,কামপার,,,0.0,2020-12-06,,,0.0,2020-04-28,41,40,1
Perak,All,All,All,All,All,428.0,428.0,0.0,2021-01-08,428.0,428.0,0.0,2021-01-09,2853,2702,151
Perlis,Perlis,玻璃市,पेर्लिस,ပါလစ်,পারলিস,63.0,63.0,0.0,2020-12-26,17.0,17.0,0.0,2020-11-22,12,12,0
Perlis,All,All,All,All,All,63.0,63.0,0.0,2020-12-26,17.0,17.0,0.0,2020-11-22,12,12,0
Selangor,Hulu Langat,乌鲁冷岳,हुलु  लान्गत,ဟူလူ လန်ဂတ်,হুলু লাঙ্গাত,7503.0,7503.0,0.0,2021-01-09,1077.0,1077.0,0.0,2021-01-09,9214,8852,362
