enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Kampung Labok,0,79.0,79.0,Kampung Labok,Kampung Labok,Machang,active,,,
Kampung Domis,0,442.0,442.0,Kampung Domis,Kampung Domis,"Kuala Krai, Machang, Pasir Mas, Tumpat, Tanah Merah",active,,,
Kampung Bunut Sarang Burung,0,192.0,192.0,Kampung Bunut Sarang Burung,Kampung Bunut Sarang Burung,"Tumpat, Kota Bharu, Tanah Merah",active,,,
Kampung Bechah Semak,0,38.0,38.0,Kampung Bechah Semak,Kampung Bechah Semak,"Pasir Mas, Tanah
  Merah",,,,
Jaya Setia,0,57.0,57.0,Jaya Setia,Jaya Setia,Petaling,,,,
Jalan Radin,0,13.0,13.0,Jalan Radin,Jalan Radin,"Lembah Pantai, Cheras",active,,,
Jalan Labuk Tiga,0,64.0,64.0,Jalan Labuk Tiga,Jalan Labuk Tiga,"Sandakan, Lahad Datu",active,,,
Jalan Cempaka Putih,0,10.0,10.0,Jalan Cempaka Putih,Jalan Cempaka Putih,"Kulai, Kota Tinggi",,,,
Biah Skim,0,16.0,16.0,Biah Skim,Biah Skim,Keningau,,,,
Permatang Berangan,0,58.0,58.0,Permatang Berangan,Permatang Berangan,Kuala Muda,active,,,
Jalan Sempilai,0,28.0,28.0,Jalan Sempilai,Jalan Sempilai,"Seberang Perai Tengah, Seberang Perai Utara, Seberang Perai Selatan",,,,
Jalan Sahadi,0,25.0,25.0,Jalan Sahadi,Jalan Sahadi,"Sepang, Klang, Kuala Selangor",active,,,
Jalan Mohd Taib,0,19.0,19.0,Jalan Mohd Taib,Jalan Mohd Taib,"Hulu Selangor, Klang",active,,,
Jalan Khidmat,0,199.0,199.0,Jalan Khidmat,Jalan Khidmat,Kota Kinabalu,active,,,
Jalan Gapam,0,11.0,11.0,Jalan Gapam,Jalan Gapam,"Melaka Tengah, Jasin",,,,
Batu Sepuluh,0,28.0,28.0,Batu Sepuluh,Batu Sepuluh,Tawau,active,,,
Taman Malim Jaya,0,18.0,18.0,Taman Malim Jaya,Taman Malim Jaya,"Jasin, Melaka Tengah",active,,,
Tabanak,0,33.0,33.0,Tabanak,Tabanak,Lahad Datu,,,,
Lebuh Wawasan,0,17.0,17.0,Lebuh Wawasan,Lebuh Wawasan,"Putrajaya, Lembah Pantai, Seremban",active,,,
Kampung Gayang,0,37.0,37.0,Kampung Gayang,Kampung Gayang,Tuaran,active,,,
Jalan Salleh,0,49.0,49.0,Jalan Salleh,Jalan Salleh,Muar,active,,,
Jalan Raja Laut,0,39.0,39.0,Jalan Raja Laut,Jalan Raja Laut,"Lembah Pantai, Cheras, Kepong, Titiwangsa",,,,
Jalan Puncak Borneo,0,488.0,488.0,Jalan Puncak Borneo,Jalan Puncak Borneo,Kuching,active,,,
Jalan Hishamuddin,0,17.0,17.0,Jalan Hishamuddin,Jalan Hishamuddin,Lembah Pantai,,,,
Jalan Bukit Belida,0,267.0,267.0,Jalan Bukit Belida,Jalan Bukit Belida,Seremban,active,,,
Persiaran Salahuddin,0,15.0,15.0,Persiaran Salahuddin,Persiaran Salahuddin,"Putrajaya, Sepang",,,,
